Trajectories
100
,,Sub3:LFHD,,,Sub3:RFHD,,,Sub3:LBHD,,,Sub3:RBHD,,,Sub3:C7,,,Sub3:T10,,,Sub3:CLAV,,,Sub3:STRN,,,Sub3:LSHO,,,Sub3:RSHO,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
39,0,145.581772,325.996155,1364.935425,37.362934,326.902161,1367.237183,167.397400,468.629395,1354.677368,8.921042,461.671478,1357.898560,83.446442,523.671936,1155.911377,81.457047,575.358093,933.044922,90.941422,352.194061,1107.681519,93.878662,289.611084,955.935303,258.666351,423.606506,1134.641968,-82.582390,408.068542,1131.615479
40,0,145.571411,325.994934,1364.916260,37.354973,326.904205,1367.216919,167.397705,468.625793,1354.679810,8.915479,461.673096,1357.893799,83.448883,523.686584,1155.911499,81.458229,575.376221,933.039062,90.936302,352.217407,1107.672363,93.872772,289.639160,955.932678,258.667847,423.618744,1134.646118,-82.585831,408.094727,1131.614746
41,0,145.555634,325.992188,1364.898926,37.341469,326.908173,1367.195923,167.395477,468.620178,1354.684937,8.900742,461.678040,1357.890991,83.449585,523.702515,1155.912109,81.460442,575.395020,933.033997,90.931801,352.238373,1107.667480,93.868019,289.665070,955.935303,258.669128,423.631073,1134.653564,-82.590706,408.122925,1131.616943
42,0,145.535385,325.988525,1364.884399,37.322773,326.914368,1367.175537,167.390640,468.613312,1354.691895,8.875336,461.686340,1357.890869,83.449310,523.718567,1155.913086,81.464264,575.414368,933.030212,90.928329,352.256653,1107.666992,93.864838,289.692078,955.940735,258.670593,423.643524,1134.663818,-82.596436,408.152069,1131.621704
43,0,145.511749,325.984863,1364.872925,37.299549,326.923035,1367.156494,167.383408,468.606293,1354.699829,8.837616,461.697662,1357.893433,83.448784,523.734314,1155.914185,81.469986,575.433838,933.027893,90.925858,352.271881,1107.670288,93.862717,289.720703,955.947815,258.672546,423.656067,1134.676270,-82.602646,408.181396,1131.628784
44,0,145.485794,325.982086,1364.865234,37.272724,326.934265,1367.139771,167.373932,468.600342,1354.708374,8.786841,461.711823,1357.899170,83.448517,523.749451,1155.915405,81.477638,575.453430,933.027344,90.924080,352.284058,1107.677246,93.860870,289.749939,955.956238,258.674896,423.668335,1134.689941,-82.609192,408.210236,1131.637085
45,0,145.458542,325.981079,1364.860596,37.243439,326.948120,1367.125977,167.362610,468.596649,1354.717041,8.724704,461.729004,1357.907593,83.448746,523.764099,1155.916626,81.487007,575.472839,933.027954,90.922661,352.293304,1107.687012,93.858513,289.777771,955.966675,258.677429,423.679749,1134.704712,-82.616173,408.238373,1131.646484
46,0,145.430847,325.982605,1364.859619,37.212807,326.964508,1367.114868,167.349991,468.596252,1354.725220,8.657337,461.749573,1357.917358,83.449425,523.778809,1155.917480,81.497673,575.491638,933.029480,90.921471,352.300415,1107.699097,93.854904,289.800232,955.980774,258.679718,423.689789,1134.720703,-82.623657,408.265472,1131.656982
47,0,145.403229,325.987091,1364.861328,37.181747,326.983459,1367.106445,167.336639,468.599854,1354.733521,8.597237,461.774109,1357.924805,83.450363,523.794006,1155.917725,81.509010,575.509521,933.030762,90.920456,352.306213,1107.713623,93.849480,289.812927,956.000610,258.681335,423.698151,1134.737549,-82.631599,408.291260,1131.668335
48,0,145.375900,325.994843,1364.865845,37.150871,327.005066,1367.099609,167.323120,468.607788,1354.741577,8.560718,461.802887,1357.925659,83.451439,523.810181,1155.916382,81.520210,575.525635,933.030945,90.919380,352.312286,1107.729248,93.842049,289.813354,956.027649,258.681702,423.705078,1134.754883,-82.639847,408.315735,1131.680420
